day of year,jimbaran_clim,jimbaran_p90,nusadua_clim,nusadua_p90,sanur_clim,sanur_p90
138,29.5504164928046,30.5516121895082,29.5433698532744,30.5189025878906,29.5219348526398,30.4652896511939
139,29.5276807056629,30.5220638029037,29.5194648332734,30.4869671114029,29.4970838463574,30.4322574123260
140,29.5043394887879,30.4921928282707,29.4948295134603,30.4539993532242,29.4715299731724,30.3993542332803
141,29.4805091982048,30.4621928184263,29.4695291651783,30.4201284100932,29.4452760727265,30.3671607109808
142,29.4566562042005,30.4344508878646,29.4440519163099,30.3905155304939,29.4187364838972,30.3379349124047
143,29.4332317416890,30.4069024855091,29.4186796713954,30.3650961722097,29.3922167613732,30.3152252320320
144,29.4104741987561,30.3796121535763,29.3937132532894,30.3403864829771,29.3660461063834,30.2937413615565
145,29.3885018232586,30.3531605505174,29.3692605052266,30.3156767937445,29.3403370912902,30.2721284558696
146,29.3677847691465,30.3301283190327,29.3457064409827,30.2923219742313,29.3152997241815,30.2521929464033
147,29.3489331969046,30.3112250912574,29.3235514879610,30.2714832798127,29.2912622626260,30.2338058594735
148,29.3318799401105,30.2960638230847,29.3029479491498,30.2524510537424,29.2684640398135,30.2164510296237
149,29.3163118783736,30.2814186957575,29.2837331162170,30.2333542731500,29.2469192460136,30.2003219973656
150,29.3021315750658,30.2667735684303,29.2659760448906,30.2148381510088,29.2268993793401,30.1845155531360
151,29.2895717422374,30.2521284411030,29.2500740495494,30.1967736274965,29.2088282412561,30.1698058466757
152,29.2787345465463,30.2378058402769,29.2361340272416,30.1798058663645,29.1927389396240,30.1557413162724
153,29.2692614594964,30.2241284155077,29.2237917730750,30.1640639397406,29.1783561946518,30.1424509725263
154,29.2607220590267,30.2107090611612,29.2128401162575,30.1491607173797,29.1655854070077,30.1302573911605
155,29.2525194278335,30.1963864603350,29.2025232151772,30.1332252379387,29.1537426297277,30.1177412217663
156,29.2445968089881,30.1816767538747,29.1927379564490,30.1176123465261,29.1426197465553,30.1041282899918
157,29.2371112344258,30.1681283643169,29.1835477235538,30.1019349005914,29.1321798648822,30.0910960412795
158,29.2302462258726,30.1538703057074,29.1751663069797,30.0859994211504,29.1227824583082,30.0776766869330
159,29.2239648896375,30.1403219161495,29.1675265421086,30.0710961864841,29.1142960354346,30.0656121653895
160,29.2181820873506,30.1277412291496,29.1605678847402,30.0578058919599,29.1065512633619,30.0541282776863
161,29.2129886343197,30.1151606036771,29.1542156027503,30.0447736432475,29.0993040799531,30.0437411892799
162,29.2079928925626,30.1020638373590,29.1480298125747,30.0338058963899,29.0920663555211,30.0334186184791
163,29.2028684972442,30.0890315640357,29.1417248276344,30.0220639382639,29.0846848423349,30.0227734596499
164,29.1973553025027,30.0755476920835,29.1349932037547,30.0101284642373,29.0768880417394,30.0118702550088
165,29.1913880353709,30.0623864081598,29.1276372302031,29.9970962155250,29.0683193176114,29.9993541225310
166,29.1854529333435,30.0509025573731,29.1201213856157,29.9850962238927,29.0593769305161,29.9860638033959
167,29.1795206687927,30.0397412576983,29.1125052676455,29.9733543272941,29.0501460184630,29.9714831936744
168,29.1736451636966,30.0275477132490,29.1051086169207,29.9625156156478,29.0411582248866,29.9587735329905
169,29.1674830243915,30.0146444997480,29.0976154755739,29.9497413758309,29.0321515108303,29.9459993547009
